mms_id,dlxs_id,alma_value,dlxs_value
990012672820106381,AFK2830.0001.049,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.005,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.050,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.051,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.052,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.053,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.054,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.055,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.006,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.007,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.008,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.009,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.036,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.037,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672840106381,AFK2832.0001.001,"Craig, Austin, 1872- ed."," Craig, Austin, ed. 1872-"
990012672920106381,AFK2840.0001.001,"Taviel de Andrade, Enrique."," Taviel de Andrade, Enrique."
990012672920106381,AFK2840.0002.001,"Taviel de Andrade, Enrique."," Taviel de Andrade, Enrique."
990012672950106381,AFK2843.0001.001,"Cañamaque y Jiménez, Francisco de Paula, 1851-1891."," Cañamaque y Jiménez, Francisco de Paula, 1851-1891."
990012673000106381,AFK2848.0001.001,"Moya y Jimenez, Francisco Javier de."," Moya y Jimenez, Francisco Javier de."
990012673020106381,AFK2850.0001.001,"Stevens, Joseph Earle, 1870-"," Stevens, Joseph Earle, 1870-"
990012673040106381,AFK2852.0001.001,"Condict, Alice Byram."," Condict, Alice Byram."
990012673060106381,AFK2854.0001.001,"Hall, A. D. (Arthur D.)"," Hall, A. D. (Arthur D.)"
990012673110106381,AFK2859.0001.001,"Fernández López, Ventura."," Fernández López, Ventura."
990012673300106381,AFK2879.0001.001,"Craig, Austin, 1872-"," Craig, Austin, 1872-"
990012673390106381,AFK2888.0001.001,"Storey, Moorfield, 1845-1929."," Storey, Moorfield, 1845-1929."
990012673470106381,AFK2896.0001.001,"Storey, Moorfield, 1845-1929."," Storey, Moorfield, 1845-1929."
990012680980106381,AFK3681.0001.001,"Donne, M. A."," Donne, M. A."
990012681000106381,AFK3683.0001.001,"Palmer, Julius A. (Julius Auboineau), 1840-1899."," Palmer, Julius A. (Julius Auboineau), 1840-1899."
990012681010106381,AFK3684.0001.001,"Palmer, Julius A. (Julius Auboineau), 1840-1899."," Palmer, Julius A. (Julius Auboineau), 1840-1899."
990012681070106381,AFK3690.0001.001,"Parke, William Cooper, 1821-1889."," Parke, William Cooper, 1821-1889."
990012707680106381,AFK6409.0001.001,"Kippis, Andrew, 1725-1795."," Kippis, Andrew, 1725-1795."
990012710570106381,AFK6700.0001.001,"Landau, Wilhelm, freiherr von, 1848-"," Landau, Wilhelm, freiherr von, 1848-"
