mms_id,alma_title,alma_author,alma_pubplace,alma_publisher,alma_pubdate,alma_notes,alma_lang,alma_keywords
990028611770106381,Salita at buhay na pinagdaanan ni Manrique [microform] : sa condadong nasasacupan nang reino nang Francia na anac ni Don Guillermo de Luna at si Leonor capatid ni Guillen.,,Manila :,"Tipografico de Modesto Reyes y C.,",1902.,"['Microfilm no. 38.', 'Cover title.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.', 'Tagalog language -- Texts.', 'History in literature.']"
990028611790106381,Salita at buhay ni D. Alejandre at ni D. Luis [microform] : sa charian nang Aragon at Moscobia.,,Meisic :,"Imprenta Alvarado,",192-.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.']"
990028611800106381,Corrido o buhay na pinagdaanan ni Papa Gregorio [microform] : na tubo sa kaharian ng Napoles.,,Maynila :,"Emilio S. Reyes,",1913.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Corridos.', 'Tagalog literature.']"
990028611810106381,Salita at buhay na pinagdaanan ng Principe Reynaldo at nang Princesa Floresinda [microform] : sa kaharian ng Bohemia at Turquia.,,Manila :,"Lim. ""Esfuerzo Obrero"",",1914.,"['Microfilm no. 38.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog literature.', 'Corridos.']"
990028611880106381,Lidia [microform] / Juan Crisostomo Soto.,"Soto, Juan Crisostomo.",[Manila? :,"s.n.,",188-],"['Microfilm no. 35.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Corridos -- Philippines.', 'Tagalog literature.']"
990028611890106381,Estudios gramaticales sobre la lengua Tagálog [microform] / por Pedro Serrano Laktaw.,"Serrano Laktaw, Pedro.","Santa Cruz, Manila :","Impr. de Juan Fajardo,",1929.,"['Microfilm no. 35.', 'In Tagalog and Spanish.', 'On title page: (Obra póstuma)', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",spa,"['Tagalog language -- Grammar.', 'Tagalog language -- Morphology.']"
990028611900106381,Ag̃ aklat ng̃ Tagalog [microform] : kaunaunahag̃ aklat na dalawang wika na sumusuysoy sa Pilolohia at Panitikang Tagalog / nina Jose N. Sevilla & Paul R. Verzosa.,"Sevilla, Jose N., 1880-1946.",Maynila :,"Imprenta y Librerias de J. Martinez,",1923.,"['Added title page has subtitle: The pioneer bilingual text-book on Tagalog philology and literature.', 'In Tagalog and English.', 'Added introduction in Spanish.', 'Microfilm no. 35.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,['Tagalog language -- History.']
990028611910106381,Mḡa dakilaḡ Pilipino [microform] : o aḡ kaibigan nḡ mḡa nagaaral / sininop ni Jose N. Sevilla at Tolentino.,"Sevilla, Jose N., 1880-1946.",Maynila :,"Limbagan nina Sevilla at mga kapatid at Kn.,",1922.,"['Microfilm no. 35.', 'At head of title: Sa laḡit nḡ bayaḡ Pilipinas.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Heroes -- Philippines -- Biography.', 'Philippines -- History.']"
990028611970106381,Caaua-auang buhay nang magsusugal at nacamumuhing asal ng lasing [microform] / ng tunay na cumatha na si Padre Juan Dilag.,"Dilag, Juan.",Maynila :,"J. Martinez,",1907.,"['In Tagalog.', 'Microfilm no. 35.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Gamblers -- Philippines.', 'Alcoholics -- Philippines.']"
990028611990106381,"Buhay nang isang mercader na si Proceso at nang caniyang anac na si María sa caharian nang Ungria [microform] : na hinang̃o sa cuadro histórico, pinag-inataang tinula ng̃ bagong nag-aaral sa caraniuang gauing libang̃an ng̃ Tagalog.",,Manila :,"J. Martinez,",1909.,"['Microfilm no. 35.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",tgl,"['Tagalog language -- Texts.', 'History in literature.', 'Tagalog literature.', 'Corridos.']"
