mms_id,dlxs_id,alma_value,dlxs_value,suggested_value,alma_url,dlxs_url
990029373930106381,AQM0380.0001.001,"['Saints -- Biography.', 'Mary Magdalene, -- Saint', 'Lazarus, -- of Bethany, Saint']","['Saints -- Biography.', 'Mary Magdalene -- Saint.', 'Lazarus, -- of Bethany, Saint.']",,https://search.lib.umich.edu/catalog/record/990029373930106381,https://quod.lib.umich.edu/p/philamer/AQM0380.0001.001
990011449660106381,AEW8671.0001.001,['Magna Carta'],['Magna Carta.'],,https://search.lib.umich.edu/catalog/record/990011449660106381,https://quod.lib.umich.edu/p/philamer/AEW8671.0001.001
990004443150106381,ABX3335.0001.001,"['Nueva Vizcaya (Philippines) -- History.', 'Nueva Vizcaya (Philippines) -- Description and travel.']","['Nueva Vizcaya(Philippines:Province) -- History.', 'Nueva Vizcaya(Philippines:Province) -- Description and travel.']",,https://search.lib.umich.edu/catalog/record/990004443150106381,https://quod.lib.umich.edu/p/philamer/ABX3335.0001.001
990037957780106381,AUJ8216.0001.001,"['Eustace, -- Saint, martyr, -- -118.', 'Theophista, -- Martyr.']","['Eustace, -- Saint martyr, -- d. 118.', 'Theophista, -- Martyr.']","['Eustace, -- Saint, martyr, -- -118.', 'Theophista, -- Martyr.']",https://search.lib.umich.edu/catalog/record/990037957780106381,https://quod.lib.umich.edu/p/philamer/AUJ8216.0001.001
990007838500106381,ADH9879.0001.001,"['Voyages and travels.', 'Southeast Asia -- Description and travel.']","['Voyages and travels.', 'Asia, Southeastern -- Description and travel.']","['Voyages and travels.', 'Southeast Asia -- Description and travel.']",https://search.lib.umich.edu/catalog/record/990007838500106381,https://quod.lib.umich.edu/p/philamer/ADH9879.0001.001
990029358120106381,AQL8779.0001.001,"['Saints -- Biography.', 'Anne (Mother of the Virgin Mary), Saint.']","['Saints -- Biography.', 'Anne, (Mother of the Virgin Mary), -- Saint.']",,https://search.lib.umich.edu/catalog/record/990029358120106381,https://quod.lib.umich.edu/p/philamer/AQL8779.0001.001
990013144000106381,AFQ1623.0001.001,"['United States Virgin Islands -- Economic conditions.', 'United States Virgin Islands -- Commerce.']","['Virgin Islands of the United States -- Economic conditions.', 'Virgin Islands of the United States -- Commerce.']","['United States Virgin Islands -- Economic conditions.', 'United States Virgin Islands -- Commerce.']",https://search.lib.umich.edu/catalog/record/990013144000106381,https://quod.lib.umich.edu/p/philamer/AFQ1623.0001.001
990013535560106381,AFU2085.0001.001,['Cuba Railroad.'],['Cuba railroad company.'],,https://search.lib.umich.edu/catalog/record/990013535560106381,https://quod.lib.umich.edu/p/philamer/AFU2085.0001.001
990029094440106381,AQJ2206.0001.001,"['Novenas.', 'Devotional literature, Tagalog.', 'Mary, -- Blessed Virgin, Saint']","['Novenas.', 'Devotional literature, Tagalog.', 'Mary, -- Blessed Virgin, Saint.']",,https://search.lib.umich.edu/catalog/record/990029094440106381,https://quod.lib.umich.edu/p/philamer/AQJ2206.0001.001
990013597480106381,AFU8648.0001.001,['Cebuano language -- Grammar.'],['Bisayan languages -- Grammar.'],['Cebuano language -- Grammar.'],https://search.lib.umich.edu/catalog/record/990013597480106381,https://quod.lib.umich.edu/p/philamer/AFU8648.0001.001
990028697340106381,AQA5915.0001.001,['Louisiana -- History.'],"['Louisiana -- History.', 'Louisiana Purchase Exposition. (1904 : Saint Louis, Mo.)']",,https://search.lib.umich.edu/catalog/record/990028697340106381,https://quod.lib.umich.edu/p/philamer/AQA5915.0001.001
990029129600106381,AQJ5779.0001.001,"['Novenas.', 'Catholic Church -- Prayers and devotions.', 'Nonato, Ramon, -- Saint.']","['Novenas.', 'Catholic Church -- Prayer-books and devotions.', 'Nonato, Ramon, -- Saint.']","['Novenas.', 'Catholic Church -- Prayers and devotions.', 'Nonato, Ramon, -- Saint.']",https://search.lib.umich.edu/catalog/record/990029129600106381,https://quod.lib.umich.edu/p/philamer/AQJ5779.0001.001
990043527650106381,AHU9368.0001.001,"['Novenas.', 'Diego de Alcala, -- Saint.']","['Philippines', 'Novenas.', 'Diego de Alcala, -- Saint.']",,https://search.lib.umich.edu/catalog/record/990043527650106381,https://quod.lib.umich.edu/p/philamer/AHU9368.0001.001
