mms_id,id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
990019375260106381,AJG9045.0001.001,An Bagong Tipan ò Testamento nin cagurangnan tang Jesu-Cristo na nalalagdaan can magña evangelio asin magña gawe nin magña apostoles.,,['An Bagong Tipan ò Testamento nin cagurangnan tang Jesu-Cristo na nalalagdaan can magña evangelio asin magña gawe nin magña apostoles.'],[],"Manila,","Sociedad bíblica británica y extrangera,",1909.,[],['bik: Bikol'],[]
990003217900106381,ABJ8999.0001.001,Hawaii Nei. An idyll of the Pacific isles. By Edward Bailey.," Bailey, Edward.",['Hawaii Nei. An idyll of the Pacific isles. By Edward Bailey.'],"[' Bailey, Edward.']","Ann Arbor, Mich.,",S. C. Andrews,[1879],"['""Ha-wài-i-nei,--term by which the whole group of islands is spoken of at home.""--Glossary (p.[51]-53]']",['eng: English'],['Hawaii -- Description and travel']
990037969520106381,AUJ9393.0001.001,"Pinagdaanang buhay ni Florante at Laura sa kahariang Albania: kinuha sa madlang ""cuadro historico"" o pinturang kinalalarawanan ng mga pangyayari nang unang panahon sa imperio ng Gresia / Francisco, Baltazar ; sadyang isinaayos alinsunod sa kasalukuyang pagsulat sa mga salitang Tagalog ni Teodoro E. Gener."," Balagtas, Francisco, 1788-1862.","['Pinagdaanang buhay ni Florante at Laura sa kahariang Albania: kinuha sa madlang ""cuadro historico"" o pinturang kinalalarawanan ng mga pangyayari nang unang panahon sa imperio ng Gresia / Francisco, Baltazar ; sadyang isinaayos alinsunod sa kasalukuyang pagsulat sa mga salitang Tagalog ni Teodoro E. Gener.']","[' Balagtas, Francisco, 1788-1862.', 'Gener, E. Teodoro.']",Maynila :,"Llagan at Sanga,",1933.,[],['tgl: Tagalog'],"['History in literature.', 'Tagalog language -- Texts.']"
990037944470106381,AUJ6881.0001.001,Pinagdaanang buhay nina Florante at Laura sa kahariang Albania / Fransisco Balagtas.," Balagtas, Fransisco, 1788-1862.",['Pinagdaanang buhay nina Florante at Laura sa kahariang Albania / Fransisco Balagtas.'],"[' Balagtas, Fransisco, 1788-1862.']",Maynila :,"Aklatan ni J. Martinez,",1941.,"['""3rd Rionda Edition, 1941- Special collections edition with a different cover and bookpaper""--T.p.']",['tgl: Tagalog'],"['History in literature.', 'Tagalog poetry.']"
990012613910106381,AFJ6825.0001.001,"A memoir of Henry Perrine Baldwin, 1842 to 1911,"," Baldwin, Arthur Douglas, 1876-","['A memoir of Henry Perrine Baldwin, 1842 to 1911,']","[' Baldwin, Arthur Douglas, 1876-']","Cleveland,","Priv. print.,",1915.,[],['eng: English'],"['Baldwin, Henry Perrine, -- 1842-1911.']"
990000244860106381,AAC6132.0001.001,"Rambles in eastern Asia, including China and Manila, during several years' residence, / by B.L. Ball."," Ball, Benjamin Lincoln.","[""Rambles in eastern Asia, including China and Manila, during several years' residence, / by B.L. Ball.""]","[' Ball, Benjamin Lincoln.']",Boston :,"J. French,",1856.,[],['eng: English'],"['China -- Description and travel.', 'Manila (Philippines) -- Description and travel.']"
990010856940106381,AEQ7225.0001.001,Bancarrota de almas : novela Filipina / Jesús Balmori.," Balmori, Jesús.",['Bancarrota de almas : novela Filipina / Jesús Balmori.'],"[' Balmori, Jesús.']",Manila :,"Libreria Manila Filatélica,",1910.,['Novel.'],['spa: Spanish'],[]
990036072690106381,ATP9606.0001.034,"Bamboo breezes : United States Naval Station.  [Vol. 1, no. 34]",,"['Bamboo breezes : United States Naval Station.  [Vol. 1, no. 34]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0001.036,"Bamboo breezes : United States Naval Station.  [Vol. 1, no. 36]",,"['Bamboo breezes : United States Naval Station.  [Vol. 1, no. 36]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0001.039,"Bamboo breezes : United States Naval Station.  [Vol. 1, no. 39]",,"['Bamboo breezes : United States Naval Station.  [Vol. 1, no. 39]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0001.044,"Bamboo breezes : United States Naval Station.  [Vol. 1, no. 44]",,"['Bamboo breezes : United States Naval Station.  [Vol. 1, no. 44]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0001.052,"Bamboo breezes : United States Naval Station.  [Vol. 1, no. 52]",,"['Bamboo breezes : United States Naval Station.  [Vol. 1, no. 52]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0002.016,"Bamboo breezes : United States Naval Station.  [Vol. 2, no. 16]",,"['Bamboo breezes : United States Naval Station.  [Vol. 2, no. 16]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0002.019,"Bamboo breezes : United States Naval Station.  [Vol. 2, no. 19]",,"['Bamboo breezes : United States Naval Station.  [Vol. 2, no. 19]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0003.018,"Bamboo breezes : United States Naval Station.  [Vol. 3, no. 18]",,"['Bamboo breezes : United States Naval Station.  [Vol. 3, no. 18]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0003.003,"Bamboo breezes : United States Naval Station.  [Vol. 3, no. 3]",,"['Bamboo breezes : United States Naval Station.  [Vol. 3, no. 3]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0003.005,"Bamboo breezes : United States Naval Station.  [Vol. 3, no. 5]",,"['Bamboo breezes : United States Naval Station.  [Vol. 3, no. 5]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990036072690106381,ATP9606.0003.007,"Bamboo breezes : United States Naval Station.  [Vol. 3, no. 7]",,"['Bamboo breezes : United States Naval Station.  [Vol. 3, no. 7]']",['United States. Navy.'],,,,"['Description based on: Vol. 1, no. 34 (1927).']",['eng: English'],"['Navies -- United States', 'Naval art and science', 'United States. -- Navy -- Periodicals.']"
990029533330106381,AQN6361.0001.001,Banal a Pama-masa ning balen qng bie nang queralandalanan ning guinu tang Jesucristo: ,,['Banal a Pama-masa ning balen qng bie nang queralandalanan ning guinu tang Jesucristo: '],['American Philosophical Society. Library.'],"Baculud, Capampangan :","Cornelio A. Pabalan Byson,",1922.,"['Microfilm no. 2', 'In Pampango.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['map: Austronesian (other)'],['Jesus Christ.']
990012605800106381,AFJ6008.0001.001,"The new Pacific, by Hubert Howe Bancroft."," Bancroft, Hubert Howe, 1832-1918.","['The new Pacific, by Hubert Howe Bancroft.']","[' Bancroft, Hubert Howe, 1832-1918.']","New York,","The Bancroft Company,",1912.,[],['eng: English'],['Pacific Ocean']
